,salary
0,88958
1,72527
2,43311
3,74057
4,94692
5,59755
6,88070
7,94409
8,80324
9,54423
10,68901
11,60598
12,77935
13,99651
14,84672
15,50032
16,47017
17,41348
18,50113
19,96646
20,66313
21,46145
22,77777
23,88806
24,56689
25,69539
26,68755
27,63053
28,60574
29,64254
30,63918
31,72668
32,81705
33,77659
34,58345
35,47581
36,62218
37,81037
38,51326
39,97830
40,64905
41,67156
42,78478
43,53906
44,74722
45,68061
46,72542
47,94161
48,93188
49,97338
50,68559
51,74841
52,47437
53,103672
54,83254
55,113229
56,86641
57,96322
58,53315
59,64512
60,80820
61,62921
62,54699
63,54652
64,67231
65,72729
66,79351
67,77186
68,93621
69,60910
70,96333
71,98003
72,77955
73,60014
74,66803
75,82715
76,80955
77,68612
78,70161
79,98538
80,74957
81,61059
82,80061
83,81788
84,82836
85,101676
86,52721
87,92842
88,56641
89,61070
90,75209
91,64083
92,75936
93,55284
94,59279
95,66834
96,48464
97,92601
98,58460
99,77310
100,63100
101,67619
102,56667
103,73881
104,69587
105,83921
106,69194
107,61301
108,67794
109,74875
110,50398
111,76604
112,70861
113,57530
114,70351
115,47519
116,73690
117,70400
118,100182
119,109501
120,61594
121,50766
122,66419
123,71859
124,56615
125,68624
126,56651
127,102165
128,47464
129,67661
130,72497
131,79095
132,65632
133,75147
134,76070
135,78611
136,57160
137,42646
138,109964
139,92117
140,71610
141,61185
142,43325
143,65015
144,78684
145,67049
146,51873
147,57547
148,104747
149,90645
150,83455
151,65625
152,59946
153,75141
154,57200
155,79131
156,92885
157,61807
158,69268
159,46867
160,57205
161,57425
162,69727
163,62458
164,55157
165,71052
166,69959
167,70667
168,42619
169,64400
170,78952
171,50786
172,74763
173,56694
174,65714
175,54070
176,61354
177,69036
178,71058
179,75358
180,65121
181,49969
182,89557
183,74739
184,96062
185,61667
186,43682
187,104656
188,49236
189,57532
190,92118
191,67630
192,82905
193,77906
194,65069
195,69619
196,90542
197,63041
198,67906
199,56935
200,77848
201,85676
202,65617
203,88948
204,55435
205,85691
206,109040
207,52114
208,110212
209,76081
210,77648
211,73625
212,66168
213,52083
214,81099
215,43842
216,61759
217,57784
218,91010
219,67888
220,93350
221,97449
222,68583
223,91882
224,55385
225,80485
226,63400
227,47506
228,61686
229,46017
230,76312
231,79615
232,96620
233,62455
234,86090
235,106632
236,64424
237,52162
238,106087
239,100018
240,43923
241,98711
242,101239
243,72396
244,58492
245,43283
246,85789
247,63757
248,48285
249,91499
250,77287
251,87352
252,87577
253,56014
254,99371
255,106263
256,72886
257,72048
258,76568
259,63081
260,52152
261,51715
262,89171
263,97400
264,86063
265,65713
266,43932
267,72639
268,77738
269,67239
270,46164
271,58472
272,93168
273,74705
274,47242
275,59655
276,87195
277,53581
278,58587
279,66474
280,49802
281,44683
282,87254
283,78589
284,60344
285,56260
286,90950
287,47188
288,43073
289,81801
290,94739
291,60214
292,83569
293,56600
294,54438
295,46583
296,85789
297,85455
298,58845
299,107218
300,65398
301,50359
302,92842
303,46932
304,104943
305,90924
306,77463
307,78680
308,88725
309,76026
310,68411
311,60361
312,57015
313,76997
314,73126
315,64241
316,74120
317,65498
318,72326
319,98993
320,85083
321,67041
322,87187
323,50765
324,68990
325,78692
326,68422
327,94363
328,84971
329,63305
330,68327
331,99825
332,81805
333,61923
334,62175
335,61875
336,59251
337,74457
338,98636
339,90768
340,59728
341,70554
342,48092
343,86445
344,63568
345,63139
346,54288
347,73708
348,71490
349,72839
350,86481
351,62469
352,71913
353,103063
354,78518
355,60783
356,68210
357,87735
358,50217
359,71084
360,75440
361,110048
362,116386
363,60887
364,68411
365,100685
366,56269
